AHSAA WEEK 3 Football,,,,,,,,,,
"THURSDAY GAMES - SEPTEMBER 10, 2026",,,,,,,,,,
DATE,TIME,HOME,CLASS,REG,SCORE,VISITOR,CLASS,REG,SCORE,SITE
,,AHSAA WOTM GAME OF THE WEEK,,,,,,,,
09-11-2026,7:00 PM,Isabella HS,2A,R-3,20,Aliceville HS,2A,R-3,22,Isabella HS
09-11-2026,7:00 PM,J.B. Pennington HS,2A,R-7,28,Phil Campbell HS,2A,R-7,41,J.B. Pennington HS
09-11-2026,7:00 PM,J.U. Blacksher HS,2A,R-1,34,Chickasaw HS,2A,R-1,0,J.U. Blacksher HS
09-11-2026,7:00 PM,Lexington HS,2A,R-7,59,Falkville HS,2A,R-7,8,Lexington HS
09-11-2026,7:00 PM,Luverne HS,2A,R-1,59,"Hillcrest HS, Evergreen",2A,R-1,16,Luverne HS
09-11-2026,7:00 PM,Ohatchee HS,2A,R-6,41,Saks HS,2A,R-6,0,Ohatchee HS
09-11-2026,7:00 PM,Ranburne HS,2A,R-4,6,Lanett HS,2A,R-4,34,Ranburne HS
09-11-2026,7:00 PM,Randolph County HS,2A,R-4,21,"Central, Coosa HS",2A,R-4,20,Randolph County HS
,,Reeltown,2A,,47,Horseshoe Bend ,,,0,
09-11-2026,7:00 PM,Tanner HS,2A,R-7,42,Winston County HS,2A,R-7,6,Tanner HS
09-11-2026,7:00 PM,Thorsby HS,2A,R-3,62,Sumter Central HS,2A,R-3,0,Thorsby HS
09-11-2026,7:00 PM,Walter Wellborn HS,2A,R-6,44,Vincent HS,2A,R-6,0,Walter Wellborn HS
09-11-2026,7:00 PM,West End HS,2A,R-6,0,Piedmont HS,2A,R-6,55,West End HS
09-11-2026,7:00 PM,Zion Chapel HS,2A,R-2,20,G.W. Long HS,2A,R-2,54,Zion Chapel HS
,,Sand Rock,2A,,34,Section,,,13,
09-11-2026,7:00 PM,Appalachian HS,1A,R-8,35,Woodville HS,1A,R-8,20,Appalachian HS
09-11-2026,7:00 PM,Brilliant HS,1A,R-5,18,Pickens County HS,1A,R-5,42,Brilliant HS
09-11-2026,7:00 PM,"Central HS, Hayneville",1A,R-4,8,Billingsley HS,1A,R-4,48,"Central HS, Hayneville"
09-11-2026,7:00 PM,Choctaw County HS,1A,R-1,10,Southern Choctaw HS,1A,R-1,8,Choctaw County HS
09-11-2026,7:00 PM,Florala HS,1A,R-2,38,Barbour County HS,1A,R-2,8,Florala HS
09-11-2026,7:00 PM,Georgiana HS,1A,R-4,24,McKenzie HS,1A,R-4,48,Georgiana HS
09-11-2026,7:00 PM,Hackleburg HS,1A,R-7,50,Waterloo School,1A,R-7,7,Hackleburg HS
09-11-2026,7:00 PM,Keith HS,1A,R-3,0,University Charter School,1A,R-3,46,Keith HS
09-11-2026,7:00 PM,Kinston HS,1A,R-2,20,Brantley HS,1A,R-2,0,Kinston HS
09-11-2026,9:00 PM,LaFayette HS,1A,R-6,19,Fayetteville HS,1A,R-6,39,LaFayette HS
09-11-2026,7:00 PM,Leroy HS,1A,R-1,34,Fruitdale HS,1A,R-1,0,Farish Field at Palmer Stadium
09-11-2026,7:00 PM,Linden HS,1A,R-3,26,J.F. Shields HS,1A,R-3,20,Linden HS
09-11-2026,7:00 PM,Lynn HS,1A,R-5,22,Berry HS,1A,R-5,28,Lynn HS
09-11-2026,7:00 PM,Meek HS,1A,R-7,68,Cherokee HS,1A,R-7,14,Meek HS
09-11-2026,7:00 PM,Millry HS,1A,R-1,PP Sat,McIntosh HS,1A,R-1,PP Sat,Millry HS
09-11-2026,7:00 PM,Phillips HS,1A,R-7,0,Addison HS,1A,R-7,52,Phillips HS
09-11-2026,7:00 PM,Pleasant Home HS,1A,R-2,28,Abbeville HS,1A,R-2,14,Pleasant Home HS
09-11-2026,7:00 PM,R.C. Hatch HS,1A,R-3,32,Francis Marion School,1A,R-3,24,R.C. Hatch HS
09-11-2026,7:00 PM,Ragland HS,1A,R-8,28,Valley Head HS,1A,R-8,14,Joan Ford Stadium
09-11-2026,7:00 PM,Red Bay HS,1A,R-7,24,Belgreen HS,1A,R-7,19,Red Bay HS
09-11-2026,7:00 PM,Red Level School,1A,R-4,7,Maplesville HS,1A,R-4,35,Red Level HS
09-11-2026,7:00 PM,Samson HS,1A,R-2,6,Elba HS,1A,R-2,37,Samson HS
09-11-2026,7:00 PM,South Lamar HS,1A,R-5,13,Hubbertville HS,1A,R-5,28,South Lamar HS
09-11-2026,7:00 PM,Spring Garden HS,1A,R-8,42,Gaylesville HS,1A,R-8,20,Spring Garden HS
09-11-2026,7:00 PM,Sulligent HS,1A,R-5,36,Marion County HS,1A,R-5,6,Sulligent HS
09-11-2026,7:00 PM,Sweet Water HS,1A,R-3,56,Breakthrough Charter,1A,R-3,0,Sweet Water HS
09-11-2026,7:00 PM,Verbena HS,1A,R-4,1,Calhoun HS,1A,R-4,0,Verbena HS
09-11-2026,7:00 PM,Wadley HS,1A,R-6,6,Winterboro HS,1A,R-6,36,Wadley HS
09-11-2026,7:00 PM,Washington County HS,1A,R-1,7,Marengo HS,1A,R-1,12,.Jordan Wilcox Stadium
